field,type,example
log_syslog_facility_name,keyword,local7
log_syslog_hostname,keyword,example-host
log_syslog_msgid,keyword,ID47
log_syslog_priority,long,135
log_syslog_procid,keyword,12345
log_syslog_severity_code,long,3
log_syslog_severity_name,keyword,Error
log_syslog_structured_data,flattened,
log_syslog_version,keyword,1
network_application,keyword,aim
network_bytes,long,368
network_community_id,keyword,1:hO+sN4H+MG5MY/8hIrXPqc4ZQz0=
network_direction,keyword,inbound
network_forwarded_ip,ip,192.1.1.2
network_iana_number,keyword,6
network_inner,object,
network_inner_vlan_id,keyword,10
network_inner_vlan_name,keyword,outside
network_name,keyword,Guest Wifi
network_packets,long,24
network_protocol,keyword,http
network_transport,keyword,tcp
network_type,keyword,ipv4
network_vlan_id,keyword,10
network_vlan_name,keyword,outside
observer_egress,object,
observer_egress_interface_alias,keyword,outside
observer_egress_interface_id,keyword,10
observer_egress_interface_name,keyword,eth0
observer_egress_vlan_id,keyword,10
observer_egress_vlan_name,keyword,outside
observer_egress_zone,keyword,Public_Internet
observer_geo_city_name,keyword,Montreal
observer_geo_continent_code,keyword,
observer_geo_continent_name,keyword,North America
observer_geo_country_iso_code,keyword,CA
observer_geo_country_name,keyword,Canada
observer_geo_location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
observer_geo_name,keyword,boston-dc
observer_geo_postal_code,keyword,94040
observer_geo_region_iso_code,keyword,CA-QC
observer_geo_region_name,keyword,Quebec
observer_geo_timezone,keyword,America/Argentina/Buenos_Aires
observer_hostname,keyword,
observer_ingress,object,
observer_ingress_interface_alias,keyword,outside
observer_ingress_interface_id,keyword,10
observer_ingress_interface_name,keyword,eth0
observer_ingress_vlan_id,keyword,10
observer_ingress_vlan_name,keyword,outside
observer_ingress_zone,keyword,DMZ
observer_ip,ip,
observer_mac,keyword,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]"
observer_name,keyword,1_proxySG
observer_os_family,keyword,debian
observer_os_full,keyword,Mac OS Mojave
observer_os_full_text,match_only_text,Mac OS Mojave
observer_os_kernel,keyword,4.4.0-112-generic
observer_os_name,keyword,Mac OS X
observer_os_name_text,match_only_text,Mac OS X
observer_os_platform,keyword,darwin
observer_os_type,keyword,macos
observer_os_version,keyword,10.14.1
observer_product,keyword,s200
observer_serial_number,keyword,
observer_type,keyword,firewall
observer_vendor,keyword,Symantec
observer_version,keyword,
orchestrator_api_version,keyword,v1beta1
orchestrator_cluster_id,keyword,
orchestrator_cluster_name,keyword,
orchestrator_cluster_url,keyword,
orchestrator_cluster_version,keyword,
orchestrator_namespace,keyword,kube-system
orchestrator_organization,keyword,binaryflux
orchestrator_resource_annotation,keyword,"['key1:value1', 'key2:value2', 'key3:value3']"
orchestrator_resource_id,keyword,
orchestrator_resource_ip,ip,
orchestrator_resource_label,keyword,"['key1:value1', 'key2:value2', 'key3:value3']"
orchestrator_resource_name,keyword,test-pod-cdcws
orchestrator_resource_parent_type,keyword,DaemonSet
orchestrator_resource_type,keyword,service
orchestrator_type,keyword,kubernetes
organization_id,keyword,
organization_name,keyword,
organization_name_text,match_only_text,
package_architecture,keyword,x86_64
package_build_version,keyword,36f4f7e89dd61b0988b12ee000b98966867710cd
package_checksum,keyword,68b329da9893e34099c7d8ad5cb9c940
package_description,keyword,Open source programming language to build simple/reliable/efficient software.
package_install_scope,keyword,global
package_installed,date,
package_license,keyword,Apache License 2.0
package_name,keyword,go
package_path,keyword,/usr/local/Cellar/go/1.12.9/
package_reference,keyword,https://golang.org
package_size,long,62231
package_type,keyword,rpm
package_version,keyword,1.12.9
process_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_args_count,long,4
process_code_signature_digest_algorithm,keyword,sha256
process_code_signature_exists,boolean,true
process_code_signature_flags,keyword,570522385
process_code_signature_signing_id,keyword,com.apple.xpc.proxy
process_code_signature_status,keyword,ERROR_UNTRUSTED_ROOT
process_code_signature_subject_name,keyword,Microsoft Corporation
process_code_signature_team_id,keyword,EQHXZ8M8AV
process_code_signature_thumbprint_sha256,keyword,c0f23a8eb1cba0ccaa88483b5a234c96e4bdfec719bf458024e68c2a8183476b
process_code_signature_timestamp,date,2021-01-01T12:10:30Z
process_code_signature_trusted,boolean,true
process_code_signature_valid,boolean,true
process_command_line,wildcard,/usr/bin/ssh -l user 10.0.0.16
process_command_line_text,match_only_text,/usr/bin/ssh -l user 10.0.0.16
process_elf_architecture,keyword,x86-64
process_elf_byte_order,keyword,Little Endian
process_elf_cpu_type,keyword,Intel
process_elf_creation_date,date,
process_elf_exports,flattened,
process_elf_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_elf_go_imports,flattened,
process_elf_go_imports_names_entropy,long,
process_elf_go_imports_names_var_entropy,long,
process_elf_go_stripped,boolean,
process_elf_header_abi_version,keyword,
process_elf_header_class,keyword,
process_elf_header_data,keyword,
process_elf_header_entrypoint,long,
process_elf_header_object_version,keyword,
process_elf_header_os_abi,keyword,
process_elf_header_type,keyword,
process_elf_header_version,keyword,
process_elf_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_elf_imports,flattened,
process_elf_imports_names_entropy,long,
process_elf_imports_names_var_entropy,long,
